English word,French word,Frequency
kneel,s'agenouiller,116

philip,Philippe,90

company,entreprise,215

sought,recherché,40

widow,veuve,142

without,sans pour autant,368

blood,du sang,947

deadly,mortel,51

nature,la nature,412

manner,manière,175

excuse,excuse,86

mouth,bouche,200

beard,barbe,124

colour,Couleur,168

citizen,citoyenne,268

smell,odeur,69

warrant,mandat,195

wounded,blessés,42

wrought,forgé,43

blest,heureux,84

distributed,distribué,443

heaven,paradis,853

contrary,contraire,47

judge,juge,121

dagger,dague,57

occasion,occasion,91

simple,Facile,129

appears,apparaît,50

knock,frappe,143

desire,le désir,310

farewell,adieu,355

though,bien que,1395

unworthy,indigne,36

creature,créature,110

reign,règne,328

measure,mesure,110

disgrace,disgrâce,58

reputation,réputation,47

question,question,177

meant,signifiait,83

shortly,prochainement,46

beaten,battu,50

bassianus,bassianus,45

milan,Milan,41

naked,nu,56

chaste,chaste,46

comes,vient,701

faint,perdre connaissance,76

bring,apporter,526

yonder,là-bas,74

noise,bruit,117

office,Bureau,351

voice,voix,213

these,celles-ci,1394

banish,bannir,205

image,image,74

talbot,talbot,175

maiden,jeune fille,78

write,écrire,162

comfort,confort,254

nurse,infirmière,218

intend,avoir l'intention,97

foolish,insensé,103

sometime,parfois,138

despair,désespoir,62

spring,printemps,91

lives,vies,213

fellow,compagnon,445

spare,de rechange,68

misery,misère,39

spend,dépenser,80

prepare,préparer,82

effect,effet,116

hundred,cent,120

quite,assez,117

young,Jeune,528

armour,armure,57

fight,bats toi,322

shake,secouer,395

taste,goût,98

consent,consentement,112

wound,blessure,211

others,autres,520

commanded,commandé,40

shape,forme,132

suspect,suspect,53

entertainment,divertissement,38

honest,honnête,406

apparel,vêtements,48

grown,grandi,68

story,récit,93

hence,Par conséquent,583

woman,femme,512

worship,culte,133

sorry,Pardon,92

proclaim,proclamer,80

protector,protecteur,61

triumph,triomphe,79

state,Etat,405

oxford,Oxford,57

borne,supporté,96

commission,commission,52

quarrel,querelle,129

surely,sûrement,42

through,par,284

modest,modeste,100

somerset,somerset,147

prison,prison,260

beauty,beauté,233

steal,voler,130

often,souvent,140

behind,derrière,120

divine,Divin,59

claim,prétendre,187

viola,alto,158

staff,Personnel,532

fears,peurs,77

brother,frère,734

drops,gouttes,58

patience,la patience,208

thunder,tonnerre,90

shore,rive,85

damned,damné,45

proceed,procéder,134

regard,qui concerne,62

depart,partir,98

light,lumière,611

pompey,pompey,211

angel,ange,345

carry,porter,113

morning,Matin,134

silver,argent,72

valour,valeur,101

after,après,543

since,depuis,462

suddenly,tout à coup,50

truth,vérité,349

pleasure,plaisir,258

spoke,parlait,219

names,des noms,50

world,monde,925

bless,bénir,277

dispatch,envoi,92

every,chaque,558

paris,Paris,171

figure,figure,66

durst,durst,51

stuff,des trucs,70

asleep,endormi,60

always,toujours,63

house,maison,662

exeter,Exeter,98

second,seconde,585

shadow,ombre,115

flood,inonder,59

library,bibliothèque,232

green,vert,122

below,au dessous de,54

thief,voleur,68

freely,librement,55

glory,gloire,89

grace,la grâce,719

forest,forêt,98

withal,avec,153

guilty,coupable,71

cruel,cruel,100

proud,fier,249

cross,traverser,126

making,fabrication,85

person,la personne,453

promise,promettre,160

chief,chef,223

paper,papier,122

although,bien que,79

sworn,juré,197

enemies,ennemis,111

haste,hâte,219

whose,dont,618

emperor,empereur,112

loving,aimant,122

yourself,toi même,280

hangs,bloque,37

until,jusqu'à,78

brief,bref,114

respect,le respect,144

undone,défait,55

mercy,pitié,187

fools,imbéciles,104

outward,vers l'extérieur,57

study,étude,68

mighty,puissant,117

swear,jurer,356

violent,violent,49

count,compter,878

egypt,Egypte,66

become,devenir,210

traitor,traitre,205

leontes,leontes,150

myself,moi même,567

profit,profit,65

eternal,éternel,40

judgment,jugement,117

perceive,apercevoir,103

royal,Royal,255

ourselves,nous-mêmes,188

death,décès,931

guard,garde,202

earth,Terre,380

flourish,fleurir,146

attend,assister,416

grant,subvention,152

flower,fleur,103

pardon,pardon,327

cunning,ruse,81

former,ancien,74

salerio,salerio,48

authority,autorité,55

sleep,sommeil,438

breed,race,110

awake,éveillé,87

bitter,amer,96

charge,charge,493

julia,Julia,154

longer,plus long,112

indeed,En effet,438

belike,être comme,42

choice,choix,72

flesh,la chair,142

coward,lâche,150

strange,étrange,365

quality,qualité,58

train,train,203

venice,venise,86

