English word,French word,Frequency
asleep,endormi,60

sense,sens,187

dolabella,Dolabella,39

sound,du son,333

tonight,ce soir,49

twice,deux fois,72

finger,doigt,114

grace,la grâce,719

leisure,loisir,68

entertainment,divertissement,38

horse,cheval,335

particular,particulier,72

hands,mains,342

peace,paix,556

alive,vivant,93

suffolk,suffolk,259

raise,élever,298

willing,prêt,94

fierce,féroce,44

dramatis,dramatis,36

freely,librement,55

image,image,74

glass,verre,83

marry,marier,377

afterwards,ensuite,38

picture,image,52

fortune,fortune,485

stain,tache,116

drums,tambours,42

machine,machine,224

times,fois,302

least,moins,101

vantage,avantage,133

padua,Padoue,41

suspect,suspect,53

capitol,Capitole,43

sleep,sommeil,438

change,changement,246

wrong,faux,379

tread,bande de roulement,57

elder,aîné,50

could,pourrait,654

about,sur,415

sickness,maladie,54

college,Université,227

catch,capture,93

knight,Chevalier,189

breast,Sein,117

guess,devine,55

leontes,leontes,150

paris,Paris,171

third,troisième,247

train,train,203

opinion,opinion,97

battle,bataille,146

reputation,réputation,47

complexion,complexion,47

means,veux dire,264

readable,lisible,224

banish,bannir,205

gates,portes,105

chamber,chambre,220

indeed,En effet,438

season,saison,69

bears,ours,110

fatal,fatal,45

shake,secouer,395

unless,sauf si,155

water,eau,207

wrought,forgé,43

ariel,Ariel,93

purpose,objectif,261

denied,refusé,55

fashion,mode,125

commercial,commercial,442

daughter,fille,494

window,la fenêtre,69

grieve,pleurer,71

brother,frère,734

cunning,ruse,81

deserve,mériter,135

bitter,amer,96

authority,autorité,55

mischief,sottises,50

leave,laisser,748

venice,venise,86

proof,preuve,118

throat,gorge,78

appear,apparaître,231

maintain,maintenir,58

wrath,colère,73

trick,tour,94

still,encore,588

cheer,acclamation,131

seeing,voyant,56

realm,domaine,60

garden,jardin,62

render,rendre,57

mirth,gaieté,53

whose,dont,618

world,monde,925

awake,éveillé,87

attended,assisté,46

blame,faire des reproches,94

money,argent,194

night,nuit,1216

plead,plaider,63

holds,tient,93

shall,doit,3865

steel,acier,78

tempest,tempête,52

dearest,très cher,56

patience,la patience,208

throne,trône,75

gallant,galant,72

exeunt,sortir,1035

those,ceux,547

yours,le tiens,609

herself,se,98

equal,égal,69

chain,chaîne,81

chide,gronder,59

instant,instant,85

common,commun,247

flourish,fleurir,146

ransom,une rançon,66

degree,diplôme,65

sharp,tranchant,90

swift,rapide,100

believe,croyez,253

companion,un compagnon,55

dying,en train de mourir,54

copyright,droits d'auteur,228

wherein,où,133

commission,commission,52

guard,garde,202

